00-database-info	This is the Vietnamese-English dictionary database of the Free Vietnamese Dictionary Project, and the Open Vietnamese Dictionary Project.; C
quạnh hiu	(adj) deserted; forlorn
rút mủ	(y học) Drain
rút mủ	(y học) Drain
thang tran	(verb) to win a battle(victory)
thang tran	(verb) to win a battle(victory)
thùng	(noun) cask, barred, bucket
thùng	(noun) basket
thùng	(adj) having holes, a hole; holed; pierced
thùng	(noun) rope
thùng	(noun) cask, barred, bucket
trat	(adj) warrant
trat	(verb) to plaster, to coat
trat	(adj) warrant
trat	(verb) to plaster, to coat
trat	(verb) to sprain to run off to miss, to fail
tìm hiểu	(verb) to survery, to search, to court
tìm hiểu	(verb) to survery, to search, to court
vô loại	(adj) wicked
vô loại	(adj) wicked
êu êu	xem êu (láy)
êu êu	xem êu (láy)
đĩ	(noun) prostitude; courtesan
đĩ	(noun) aunt
đĩ	xem gí
đĩ	(verb) to take, to employ
đĩ	(verb) to go; to walk; to depart; To lead; to march; to play
đĩ	(verb) to whisper
đĩ	(adj) odd; strange
đĩ	(noun) scrotum
đĩ	(verb) to move to leave behind; to crush with feet by rubbing
đứt gãy	(địa lý) Faultac	(noun) Crow, raven; (cũ) The sun
đứt gãy	(địa lý) Fault
ac	(adj) Cruel, malicious; Severe, fierce; Ripping, rattling good
ac	(noun) Crow, raven; (cũ) The sun
ac	(adj) Cruel, malicious; Severe, fierce; Ripping, rattling good
bo xo	(khẩu ngữ) To lay up (in a napkin); dùng phụ sau danh từ) Worthless, cast off
bo xo	(khẩu ngữ) To lay up (in a napkin); dùng phụ sau danh từ) Worthless, cast off
bóp cổ	(verb) To oppress ruthlessly; To fleece, to sting
bóp cổ	(verb) To oppress ruthlessly; To fleece, to sting
bộ sách	(noun) Set of books
bộ sách	(noun) Set of books
cau mat	Eyeball
cau mat	Eyeball
chu nhiem	(noun) Chairman, director, head
chu nhiem	(noun) Chairman, director, head
chỉ huy phó	(noun) Second in command, deputy commander, deputy director
chỉ huy phó	(noun) Second in command, deputy commander, deputy director
có thai	To be with child, to be in the family way, to be pregnant
có thai	To be with child, to be in the family way, to be pregnant
dam dang	(noun) debauched; lustful; lend
dam dang	(noun) debauched; lustful; lend
dam dang	như đảm
dich thu	Adversary, opponet,rival
dich thu	Adversary, opponet,rivalban biu	adj & vẻb; (To be) busy
duong thoi	Current at that time
duong thoi	Current at that time
gang thep	Iron, ironlike
gang thep	Iron, ironlike
giá treo cổ	Gallows, gibbet
giá treo cổ	Gallows, gibbet
ha long	như hả dạ
ha long	như hả dạ
hoan binh	Put off the fighting, postpone a battle; Temporize, try to gain time, use dilatory tactics
hoan binh	Put off the fighting, postpone a battle; Temporize, try to gain time, use dilatory tactics
hành trình	(noun) itinerary
hành trình	(noun) itinerary
hở hang	Scanty, low-necked
hở hang	(noun) relation; relatives
hở hang	(noun) relation; relatives
khong doi khong	Air-to-air (missile)
khong doi khong	Air-to-air (missile)
kinh ngac	(adj) amazed; stupefied; aghast
kinh ngac	(adj) amazed; stupefied; aghast
kinh ngac	(cũ; văn chương) Whale and crocodile; brave and strong soldiers; fierce rebels
lập kỷ lục	(verb) to achieve a record
lập kỷ lục	(verb) to achieve a record
măng cụt	(noun) Mangosteen; The name and the shape of this fruit do not look attractive to those who first see it. A mangosteen is as big as a tennis ball and has the dark violet and rough skin. Yet, when peeling off the upper part of the fruit with a small sharp knife and lifting the upper part off, you can see the transparent white pulp inside arranged in equal segments. Just lifting segment by segment of such transparent white pulp to the mouth, you can imagine of having a light and pure refreshment with an easily acceptable little sour taste lingering in your mouth
măng cụt	(noun) Mangosteen; The name and the shape of this fruit do not look attractive to those who first see it. A mangosteen is as big as a tennis ball and has the dark violet and rough skin. Yet, when peeling off the upper part of the fruit with a small sharp knife and lifting the upper part off, you can see the transparent white pulp inside arranged in equal segments. Just lifting segment by segment of such transparent white pulp to the mouth, you can imagine of having a light and pure refreshment with an easily acceptable little sour taste lingering in your mouth
nghi tay	Knock off
nghi tay	Knock off
nhung nhuc	như lúc nhúc
nhung nhuc	như lúc nhúc
nhung nhuc	xem nhức (láy)
nội nhân	(cũ) My wife, my old woman (thông tục)
nội nhân	(cũ) My wife, my old woman (thông tục)
phần phật	Flipflap, flapping noise
phần phật	Share out, distribute
phần phật	Share out, distribute
phần phật	xem phắt (láy)
quạnh quẽ	(adj) desert
quạnh quẽ	(adj) desert
rút ngắn	(verb) to abridge; to curtail
rút ngắn	(verb) to abridge; to curtail
sinh thoi	(noun) lifetime
sinh thoi	(noun) lifetime
sướng mắt	(adj) spectacular, fine, fair
sướng mắt	(verb) to feel awkward
sướng mắt	(adj) spectacular, fine, fair
thanh	(noun) tone, pitch slat, piece, lear,
thanh	(adj) prosperous
thanh	(noun) citadel, rampart wall town, city
thanh	(verb) to achieve one's aim, to gain (win) one's end to turn into, to change into, to grow into, to make
thanh	(adj) sincere
thanh	(noun) saint swell
thùng thư	(noun) letter box
thùng thư	(noun) letter box
trat tu	(noun) order
trat tu	(noun) order
tìm kiếm	(động từ) to look/search for ...; to seek
tìm kiếm	(động từ) to look/search for ...; to seek
vô lý	(adjective) absurd, unreasonable
vô lý	(adjective) absurd, unreasonable
êu ôi	(thông tục) Faugh! phew!
êu ôi	(thông tục) Faugh! phew!
đĩ bợm	Lustful, wanton
đĩ bợm	Lustful, wanton
đứt hơi	Out of breath, deal tiredac ba	(noun) Cruel landlord, village tyrant
đứt hơi	Out of breath, deal tired
bo xu	(verb) to fly one's country
bo xu	(verb) to fly one's country
bo xu	như bỏ mẹ
bóp họng	như bóp cổ
bóp họng	như bóp cổ
bộ sậu	(noun) Set; Band, gang
bộ sậu	(noun) Set; Band, gang
cau may	(verb) to frown; to gather one's eyebrows
cau may	(verb) to frown; to gather one's eyebrows
cau may	To try one's luck
cau may	(thể thao) sepatakraw
chu nho	Han ideogram, Han script
chu nho	Han ideogram, Han script
chỉ huy trưởng	(noun) Commander, commanding officer (of an army unit)
chỉ huy trưởng	(noun) Commander, commanding officer (of an army unit)
có thể	Can, may, to be possible, to be able to; Probable, possible
có thể	(noun) Organism; Human body
có thể	Can, may, to be possible, to be able to; Probable, possible
dam dao	(verb) to converse; to talk
dam dao	(verb) to converse; to talk
dich thuat	Translate (nói khái quát)
dich thuat	Translate (nói khái quát)
duong tinh	(noun) Male nature
duong tinh	(noun) Male nature
giá trị	Value worth
giá trị	Value worth
ha luu	Lower section (of a river); Lower social classes (in the old society)
ha luu	Lower section (of a river); Lower social classes (in the old society)
hoan cai	Turn over a new leaf, reform, give up one's bad ways for a good life
hoan cai	Turn over a new leaf, reform, give up one's bad ways for a good life
hành tung	(noun) track, trail, whereabouts
hành tung	(noun) track, trail, whereabouts
hở môi	Open one's lips
hở môi	Open one's lips
khong dung	It is no accident.
khong dung	It is no accident.
kinh nghe	(cũ; văn chương)Male whale and female whale; brave and strong soldier; fierce rebels
kinh nghe	(cũ; văn chương)Male whale and female whale; brave and strong soldier; fierce rebels
lo mang	(adj) coarse; rude; abusive
lo mang	(adj) coarse; rude; abusive
lập mưu	(verb) to draw up a scheme
lập mưu	(verb) to draw up a scheme
măng tây	(noun) asparagus.
măng tây	(noun) asparagus.
nghi thuc	(noun) form; formality; ceremony
nghi thuc	(noun) form; formality; ceremony
ngậm câm	(địa phương) Keep mum
ngậm câm	(địa phương) Keep mum
noi lung	nh nói lưỡng
noi lung	nh nói lưỡng
nội nhập	(tâm lý) Introjection
nội nhập	(tâm lý) Introjection
phiu	Long (face)
phiu	Long (face)
phần thưởng	(noun) prize, recompense
phần thưởng	(noun) prize, recompense
quạnh vắng	Deserted, desolate
quạnh vắng	Deserted, desolate
rút ruột	Draw from the centre; Overexert oneself; Worm, squeeze money out
rút ruột	Have one's heart (soul) wrung (with agony, sadness)
rút ruột	Draw from the centre; Overexert oneself; Worm, squeeze money out
sinh thu	(từ cũ) Pleasures of life
sinh thu	(từ cũ) Pleasures of life
sướt	(verb) to graze to scratch slightly
sướt	(noun) bobbin, cop
sướt	(conj) through, throughout all, always
sướt	(noun) bobbin, cop
sướt	(conj) through, throughout all, always
thanh bach	(adj) pure and upright
thanh bach	(adj) pure and upright
thùy mị	(adj) gentle, sweet
thùy mị	(adj) gentle, sweet
trau	(noun) buffalo
trau	(noun) buffalo
trau	(noun) rice husk
trau	(noun) Betel; Quid of betel (and areca-nut); Ăn trầu (Betel chewing): A popular custom formed in Vietnam since time immemorial. Each quid of betel consists of a piece of areca-nut and a betel leaf with no lime spread on it, and in some cases, included with a piece of tobacco. Traditionally, Vietnamese people invite their guests to chew betel before starting a conversation. This explains thoroughly the saying known to everyone: ""A quid of betel and areca-nut starts the ball rolling""; Ăn trầu là tập tục có từ thời cổ. Miếng trầu gồm có: Một miếng cau, Một miếng lá trầu không có quệt vôi. Có nơi còn thêm một mẩu thuốc lào. Trong phong tục Việt Nam, có tục mời trầu hầu chuyện, nên có câu ""Miếng trầu là đầu câu chuyện""
tình	(noun) love, affection situation, plight
tình	(adj) lovingly, lovely
tình	(noun) temper, dioposition trait, quality property habit
tình	(verb) to calculate, to rackon to consider to plan to count
tình	(noun) province, town
tình	(adj) conscious awake, aware
tình	(danh từ) flag, banner; sperm, semen; wandering spirit (con tinh); peel grateed from bamboo (tinh tre)
tình	(tính từ) fine, pure; intelligent, clever, shrewd
tình	(thành ngử) nothinng ... but, only; essence
tình	(động từ) sign (cầm tinh ..)
vô lương tâm	(adj) ruthless, unconscionable
vô lương tâm	(adj) ruthless, unconscionable
ì	(verb) to be inert; to sluggish
ì	(verb) to be inert; to sluggish
ì	(verb) (lóng) to go to stoolan loat	(verb) To print
đĩ miệng	Fond of telling broad stories
đĩ miệng	Fond of telling broad stories
đứt quãng	Interruptedlyac cam	(noun) Antipathy, aversion, enmity, bad blood, ill feeling
đứt quãng	Interruptedly
bao tiep	(từ cũ, nghĩa cũ) Announce a victory
bao tiep	(từ cũ, nghĩa cũ) Announce a victory
bo xuyet	(từ cũ, nghĩa cũ) Revise and update
bo xuyet	(từ cũ, nghĩa cũ) Revise and update
bóp miệng	(verb) To stint oneself on food, to stint oneself in everything
bóp miệng	(verb) To stint oneself on food, to stint oneself in everything
bộ tham mưu	Staff
bộ tham mưu	Staff
chu no	Slave-owner
chu no	Slave-owner
chu no	Creditor
chỉ nam	xem kim chỉ nam
chỉ nam	xem kim chỉ nam
có tuổi	Advanced in years
có tuổi	Advanced in years
dam dap	Moist, damp (usually with sweat)
dam dap	Moist, damp (usually with sweat)
dich thuc	Authentic
dich thuc	Authentic
duong tranh	Side-track
duong tranh	Side-track
giá vé	Easel
giá vé	Easel
ha ma	Hippopatamus
ha ma	Dismount (from one's horse)
ha ma	Hippopatamus
ha ma	(noun) hippopotamus
hoan canh	(noun) element; circumstances; evironment
hoan canh	(noun) element; circumstances; evironment
hành tây	(noun) onion
hành tây	(noun) onion
hở ngực	Low-necked (of dress)
hở ngực	Low-necked (of dress)
khong gian	(noun) space
khong gian	(noun) space
kinh nghiem	(noun) experience
kinh nghiem	(noun) experience
lo mo	(adj) vague
lo mo	(adj) vague
lập nghiệp	(verb) to establish one's business
lập nghiệp	(verb) to establish one's business
măng đô	(lin)
măng đô	noun mandolin
măng đô	(lin)
măng đô	noun mandolin
ngậm họng	(ít dùng) Shut one's breath; Keep absolutely quiet
ngậm họng	(ít dùng) Shut one's breath; Keep absolutely quiet
noi luong	cũng nói nói lửng Quibble
noi luong	cũng nói nói lửng Quibble
nội nhật	Within a day
nội nhật	Within a day
phiên	(noun) turn
phiên	(noun) slab. (of stone, etc...)
phiên	(verb) to annoy, to bother, to disturb
phiên	danh từ. opium
phiên	(noun) turn
phần trăm	Percentage; per cent
phần trăm	Percentage; per cent
quạt	(noun) fan
quạt	(verb) to fan
quạt	(verb) to lash; to whip
quạt	(noun) kumquat; mandarin
quạt	(verb) to flail against the ground
quạt	(verb) to dip up, to disinter
quạt	(verb) to shrived up
quạt	(verb) to turn
quạt	(verb) to shout; to storm
quạt	(verb) to shout; to storm
rút rát	xem nhút nhát
rút rát	xem nhút nhát
sinh thuc	(sinh vật, cũ) Reproduction
sinh thuc	(sinh vật, cũ) Reproduction
sườn	(noun) Side of man's chest, side; Frame; Plan
sườn	(adj) straight and tall fluent, flowing
sườn	(adj) straight and tall fluent, flowing
thanh binh	(adj) peaceful; in peace
thanh binh	(adj) peaceful; in peace
thú	(noun) pleasure, interest animal, beast, mammal
thú	(adj) interesting, pleasant
thú	(noun) letter
thú	(noun) order, rank kind, sort, thing
thú	(adj) second; inferior
thú	(verb) to test; to try (attempt) (on,.)
thú	(noun) autumn;(Mỹ) fall
thú	(verb) to collect to get back; to recall to obtain, to
trau bo	(noun) cattle
trau bo	(noun) cattle
tình ca	(noun) love-song
tình ca	(noun) love-song
vô nghĩa	(adj) non-sensical, meaningless amoral
vô nghĩa	(adj) non-sensical, meaningless amoral
ì à ì ạch	xem ì ạch (láy)
ì à ì ạch	xem ì ạch (láy)
đĩ rạc	(cũ) Veteran harlot veteran whore
đĩ rạc	(cũ) Veteran harlot veteran whore
đứt ruột	Feel deeply painedac chien	(verb) To fight violently, to fight fiercely
đứt ruột	Feel deeply pained
bao to	như bão táp
bao to	như bão táp
bóp méo	(verb) To distort, to wrest
bóp méo	(verb) To distort, to wrest
bộ thuộc	(từ cũ, nghĩa cũ) Surbordinate
bộ thuộc	(từ cũ, nghĩa cũ) Surbordinate
cau ne	(verb) To be a stickler for, to be finical about; To stand on ceremony, to have scruples
cau ne	(verb) To be a stickler for, to be finical about; To stand on ceremony, to have scruples
chu nom	Demotic script (Ancient Vietnamese script)
chu nom	Demotic script (Ancient Vietnamese script)
chỉ rõ	(verb) to denote; to enumerate
chỉ rõ	(verb) to denote; to enumerate
có tình	Taking into consideration others' feelings, feeling
có tình	Taking into consideration others' feelings, feeling
có tình	Xem cố ý
dam dat	(adj) lascivious; lustful;
dam dat	(adj) lascivious; lustful;
dam dat	xem giậm giật
dich ton	Eldest son of one's eldest son
dich ton	Eldest son of one's eldest son
duong trap	(sinh học) Chyle
duong trap	(sinh học) Chyle
ganh	Vie, compete
ganh	(verb) to shoulder; to bear a charge; To carry
ganh	(noun) load
giác	(verb) to cup
giác	(noun) horn; Angle
giác	(noun) sleep ; slumber
giác	(verb) to cup
giác	(noun) horn; Angle
giác	(noun) pirate; invader
ha man	Lower the curtain
ha man	Lower the curtain
hoan cau	(noun) the world
hoan cau	(noun) the world
hành tội	Punish; Tortment, inflict mental torture on
hành tội	Punish; Tortment, inflict mental torture on
hở sườn	(quân) Expose the flank
hở sườn	(quân) Expose the flank
khong giao	(noun) confucianism
khong giao	(noun) confucianism
lo run	<div><b>noun</b><ul></ul></div>
lo run	<div><b>noun</b><ul></ul></div>
lập pháp	(verb) to legislate; to make laws
lập pháp	(verb) to legislate; to make laws
mũ	(noun) hat; cap; bonnet
mũ	Old hag
mũ	(noun) (Med) pus; matter
mũ	(noun) carapace; tortoise-shell
mũ	(adj) blind; eyeless ; sightless
nghi tiet	Riter, ceremonials
nghi tiet	Riter, ceremonials
ngậm miệng	Shut (close) one's mouth; Keep silent, hold one's tongue
ngậm miệng	Shut (close) one's mouth; Keep silent, hold one's tongue
nhung phuc	(cũ) (cũng nói nhung y) Combat uniform
nhung phuc	(cũ) (cũng nói nhung y) Combat uniform
noi mat	say a few sweetly ironical words
noi mat	say a few sweetly ironical words
nội năng	Internal energy
nội năng	(verb) to speak
nội năng	(verb) to speak
phiên bản	Reproduction
phiên bản	Reproduction
phần tử	Element
phần tử	(noun) (math) numerator, molecule
phần tử	(noun) (math) numerator, molecule
quạt bàn	Table fan
quạt bàn	Table fan
rút tỉa	Draw
rút tỉa	Draw
sườn sượt	(adj) Sprawling lazily
sườn sượt	(adj) Sprawling lazily
thú nhận	(verb) to confess, to admit, to realize
thú nhận	(verb) to confess, to admit, to realize
trau chuot	(verb) to polish, to smooth down
trau chuot	(verb) to polish, to smooth down
tình cảm	(noun) sentiment, affection
tình cảm	(noun) sentiment, affection
vô phép	(adj) impolite, rude
vô phép	(adj) impolite, rude
ì ạch	(adv) ploddingly
ì ạch	(adv) ploddingly
đĩ thõa	Of very easy virtue, very promiscuous, very wanton (nói về đàn bà)
đĩ thõa	Of very easy virtue, very promiscuous, very wanton (nói về đàn bà)
đứt tay	(verb) to cut one's fingerac khau	như {ác miệng}
đứt tay	(verb) to cut one's finger
bao toan	(verb) To keep intact, to keep whole
bao toan	(verb) To keep intact, to keep whole
boc bach	(verb) To bare
boc bach	(verb) To bare
bóp mũi	(khẩu ngữ) To bully easily
bóp mũi	(khẩu ngữ) To bully easily
cau nguyen	(verb) bà mẹ ngày đêm cầu nguyện cho con được tai qua nạn khỏi the mother prayed day and night for her child to get away unscathed
cau nguyen	(verb) bà mẹ ngày đêm cầu nguyện cho con được tai qua nạn khỏi the mother prayed day and night for her child to get away unscathed
chu quan	(noun) Subjective feeling, subjective thinking, subjective point of view
chu quan	(adj) Subjective, personal, own
chu quan	(noun) Subjective feeling, subjective thinking, subjective point of view
chu quan	(adj) Subjective, personal, own
chu quan	(adj) In charge, in control
chỉ số	(noun) Index
chỉ số	(noun) Index
có vẻ	(verb) To seem, to look
có vẻ	(verb) To seem, to look
có vẻ	(noun) Corvee
dam dau	Rush headlong; Move heaven and earth and do something one cannot held; Have to take the road
dam dau	Rush headlong; Move heaven and earth and do something one cannot held; Have to take the road
dich vi	Gastric juice
dich vi	Gastric juice
duong trieu	Current dynasty, current reign
duong trieu	Current dynasty, current reign
ganh dua	(verb) to rival; to vie; to compete
ganh dua	(verb) to rival; to vie; to compete
giác mạc	(noun) cornea
giác mạc	(noun) cornea
ha minh	(verb) to condescend; to demean oneself
ha minh	(verb) to condescend; to demean oneself
hoan chinh	Fully worked-out, fully done, fully madẹ.
hoan chinh	Fully worked-out, fully done, fully madẹ.
hành vi	(noun) act; action; deed
hành vi	(noun) act; action; deed
hở vai	De'collete' (of dress)
hở vai	De'collete' (of dress)
khong he	never
khong he	never
kinh ngu	(văn chương) Whale
kinh ngu	(văn chương) Whale
lo so	(adj) anxious
lo so	(adj) anxious
lập trường	(noun) standpoint; view-point
lập trường	(noun) standpoint; view-point
mũ chào mào	Garrison-cap
mũ chào mào	Garrison-cap
ngậm ngùi	(verb) to pity; to have compassion
ngậm ngùi	(verb) to pity; to have compassion
noi me	Speak in one's sleep; Rave in delirium
noi me	Speak in one's sleep; Rave in delirium
nội quy	Intramural regulations
nội quy	Intramural regulations
phiên chúa	(sử học) Vassal prince
phiên chúa	(sử học) Vassal prince
phần việc	One's job, one's responsibility
phần việc	One's job, one's responsibility
quạt hòm	Winnover
quạt hòm	Winnover
răm	Fragrant khotweed
răm	(noun) species of crab
răm	Force
răm	Beam; Loud, noisy
răm	(adj) thick; bushy; dense
răm	Wind
răm	The fifteenth of the lunar month, the full-moon day
răm	như nhặm
răm	(noun) ream (of paper)
răm	(verb) to fry
răm	[Be] sunburnt
răm	(adj) shady bóng râm shade
sường sượng	xem sượng (láy)
sường sượng	xem sượng (láy)
thú rừng	wild beast
thú rừng	wild beast
tình cờ	<div><b>adj, adv by chance, accidental</b><ul></ul></div>
tình cờ	<div><b>adj, adv by chance, accidental</b><ul></ul></div>
vô sinh	(adj) (phụ nữ) barren inanimate
vô sinh	(adj) (phụ nữ) barren inanimate
ì ầm	Rumble
ì ầm	Rumble
đĩ trai	(địa phương) Dandy
đĩ trai	(địa phương) Dandy
đứt đuôi	(thông tục) Plain as a pikestaffac la	(noun) Magpie
đứt đuôi	(thông tục) Plain as a pikestaff
bao ton	(verb) To preserve
bao ton	(verb) To preserve
boc chay	(verb) To burn up, to burst into flames
boc chay	(verb) To burn up, to burst into flames
bóp mắt	Overcharge (of a trader)
bóp mắt	Overcharge (of a trader)
cau nhau	(verb) To grumble, to grunt, to growl
cau nhau	như càu nhàu
cau nhau	(verb) To grumble, to grunt, to growl
chu quoc ngu	Vietnamese script, Vietnamese Roman alphabet
chu quoc ngu	Vietnamese script, Vietnamese Roman alphabet
chỉ tay	(noun) lines of the hand
chỉ tay	(noun) lines of the hand
có ích	(adj) Useful
có ích	(adj) Useful
dam de	(adj) soaked; oozingly wet
dam de	(adj) soaked; oozingly wet
dich vu	Service
dich vu	Service
duong tron	Circle. circle
duong tron	Circle. circle
ganh ghet	(verb) to envy; to jealous
ganh ghet	(verb) to envy; to jealous
giác ngộ	(verb) to rouse; to come to reason; to grow alive
giác ngộ	(verb) to rouse; to come to reason; to grow alive
ha nang	Scrotum
ha nang	Scrotum
hoan chuyen	(verb) to exchange post
hoan chuyen	(verb) to exchange post
hành văn	(verb) to compose, to style
hành văn	(verb) to compose, to style
khong ke	not counting, excluding
khong ke	not counting, excluding
kinh nguyet	(noun) menses; periods
kinh nguyet	(noun) menses; periods
lập tức	(adv) at once, immediately
lập tức	(adv) at once, immediately
mũ cát	Sun-helmet
mũ cát	Sun-helmet
nghi toi	(luật pháp) Deliberate upon [and fix] the punishment
nghi toi	(luật pháp) Deliberate upon [and fix] the punishment
ngậm nước	(hóa học) Hydrated
ngậm nước	(hóa học) Hydrated
nhung tay	Have a hand in, bear a hand in
nhung tay	Have a hand in, bear a hand in
noi mep	Be smooth-tongued. Chỉ hay nói mép,
noi mep	Be smooth-tongued. Chỉ hay nói mép,
nội thành	A city's inlying areas, urban areas
nội thành	A city's inlying areas, urban areas
phiên chế	(quân ddo^.i) Organize; arrange
phiên chế	(quân ddo^.i) Organize; arrange
phần đông	Most, the greatest, part
phần đông	(verb) to react
phần đông	(verb) to react
quạt kéo	Punkah
quạt kéo	Punkah
răm rắp	All to a man, all at the same time
răm rắp	Stamping noises
răm rắp	Bushy, dense
răm rắp	xem ráp (láy)
răm rắp	xem ráp (láy)
sưởi	(verb) to warm oneself
sưởi	(noun) spring
sưởi	(noun) spring
thanh ca	(noun) hymn
thanh ca	(noun) hymn
thú vui	(noun) pleasure
thú vui	(noun) pleasure
trau doi	(verb) to improve
trau doi	(verb) to improve
tình hình	(noun) situation
tình hình	(noun) situation
vô sản	tính từ, động từ proletarian
vô sản	tính từ, động từ proletarian
ìn ịt	xem ịt (láy)
ìn ịt	xem ít (láy)
ìn ịt	xem ít (láy)
đĩ tính	Of easy virtue, light
đĩ tính	Spermatorrhoea
đừ	To death, extremelyac liet	(adj) Very fierce, very violent
đừ	(noun) umbrella; parachute; sunshade
đừ	(conj) Though; however; whether
đừ	(adj) Odd
đừ	(noun) swing
đừ	(verb) to swing ; to see-saw; to teeter
đừ	(verb) to push briskly; to walk
đừ	(verb) to entice; to lure
đừ	(adj) very tired
đừ	(địa phương) xem nhừ
đừ	Rheum (gum on the edge of the eyelids).; (địa phương) xem nhử
đừ	(adj) wocked; fierce; Bad; unlucky
đừ	(verb) to assist; to take part; to attend
đừ	(tục) Fuck, stuff
đừ	(verb) to copulate; to unite sexually, to fuckbao hàm	(verb) to imply
đừ	Lark, romp
đừ	(adj) enough; adequate; sufficientbao mat	(verb) To keep state (one's organization's) secrets
đừ	Stiff (cũng nói đứ_đừ)bao no	(sử học) Patron
bao ton bao tang	(verb) To preserve, to care for and display (historical documents, relics...), to do a conservator's work
bao ton bao tang	(verb) To preserve, to care for and display (historical documents, relics...), to do a conservator's work
boc do	To load and unload
boc do	To load and unload
bóp mồm	(khẩu ngữ) như bóp miệng
bóp mồm	(khẩu ngữ) như bóp miệng
cau noi	Saying; word
cau noi	Saying; word
chu quyen	(noun) Sovereignty
chu quyen	(noun) Sovereignty
chỉ thiên	bắn chỉ thiên To fire in the air
chỉ thiên	bắn chỉ thiên To fire in the air
có ăn	Well-to-do, comfortably off
có ăn	Well-to-do, comfortably off
dam dia	Soaked through. Dripping wet
dam dia	Soaked through. Dripping wet
dich xac	Factual; Certain
dich xac	Factual; Certain
duong truong	(noun) long road
duong truong	(noun) long road
giác nút	(sinh học) Sucker
giác nút	(sinh học) Sucker
ha nghi vien	Lower House, House of Commons, House of Representatives (Mỹ)
ha nghi vien	Lower House, House of Commons, House of Representatives (Mỹ)
hoan do	(từ cũ; nghĩa cũ) (cũng nói hoạn lộ) Mandarin's career
hoan do	(từ cũ; nghĩa cũ) (cũng nói hoạn lộ) Mandarin's career
hành xác	Mortify one's body
hành xác	Mortify one's body
khong khi	(noun) air; atmosphere
khong khi	(noun) air; atmosphere
lo tai	(noun) ear; ear-hole
lo tai	(noun) ear; ear-hole
lật	(verb) to turn over; to upturn; to capsize
lật	(noun) rush
lật	(verb) to pave
lật	(noun) rush
lật	(verb) to pave
lật	(noun) bamboo string
lật	(adj) insipid; flat; not salted
mũ cối	Sun-helmet
mũ cối	Sun-helmet
nghi trua	Take a siesta
nghi trua	Take a siesta
ngậm tăm	Keep strict silence
ngậm tăm	Keep strict silence
nhung vai	Velveteen
nhung vai	Velveteen
noi mia	Ironize
noi mia	Ironize
nội thương	internal disease
nội thương	internal disease
phiên dịch	(verb) to translate
phiên dịch	(verb) to translate
phẩm	(noun) dye
phẩm	(adj) coarse, philistine
phẩm	(conj) as, being
phẩm	(adj) coarse, philistine
phẩm	(conj) as, being
phẩm	(verb) to offend, to contravene, to commit
quạt lúa	(địa phương) như quạt hòm
quạt lúa	(địa phương) như quạt hòm
răn	Admonish
răn	(adj) cracked; crackled
răn	(địa phương) xem dấn
răn	(noun) louse
răn	(adj) hard; rigid
răn	(noun) snake; serpent
răn	(địa phương) Striped
răn	Contract muscles; (thông tục) Be delivered of
răn	Resound widely; Spread widely
răn	(địa phương) Stable
răn	(verb) to fry
răn	(verb) to try; to endeavour
răn	(adv) some more
răn	như ran
sưởi nắng	(verb) to sunbathe, to warm oneself in the sun
sưởi nắng	(verb) to sunbathe, to warm oneself in the sun
thanh canh	(adj) dainty
thanh canh	(adj) dainty
thú vị	(adj) pleasant, enjoyable
thú vị	(adj) pleasant, enjoyable
tình lý	love versus reason
tình lý	(noun) township
tình lý	love versus reason
vô số	(adj) innumerable, countless
vô số	(adj) innumerable, countless
ình	(verb) to swell
ình	(verb) to swell
đĩ điếm	Prostiture, whore
đĩ điếm	Prostiture, whore
bao tro	(verb) To sponsor, to patronize
bao tro	(verb) To sponsor, to patronize
boc dong	(khẩu ngữ) To act like a hothead, to be hotheaded
boc dong	(khẩu ngữ) To act like a hothead, to be hotheaded
bóp nghẹt	(verb) To stiffle, to strangle
bóp nghẹt	(verb) To stiffle, to strangle
cau phao	Pontoon bridge
cau phao	Pontoon bridge
chu so	Cipher, numeral, figure
chu so	Cipher, numeral, figure
chỉ thị	(verb) To instruct
chỉ thị	(noun) Instructions
chỉ thị	(verb) To instruct
chỉ thị	(noun) Instructions
có điều	Only, only that
có điều	Only, only that
dam dong	Crowd; mod
dam dong	Crowd; mod
diec	(địa phương) xem nhiếc
diec	(địa phương) xem nhiếc
diec	(noun) heron
diec	Deaf; Stunted; Dud
duong vat	(noun) penis; viril number
duong vat	(noun) penis; viril number
ganh go	Compete with a bad intention
ganh go	Compete with a bad intention
giác quan	(noun) sence; sense-organ
giác quan	(noun) sence; sense-organ
ha nguc	Throw in jail
ha nguc	Throw in jail
hoan dong	(Cải lão hoàn ddo^`ng) Rejuvenate oneself
hoan dong	(Cải lão hoàn ddo^`ng) Rejuvenate oneself
hành đạo	(từ cũ; nghĩa cũ) Pratise religion
hành đạo	(từ cũ; nghĩa cũ) Pratise religion
hành đạo	Almond
hỡi ôi	Alas!
hỡi ôi	Alas!
khong kich	Attack with planes, stage an air attack
khong kich	Attack with planes, stage an air attack
lo trinh	(noun) itinerary; road; route
lo trinh	(noun) itinerary; road; route
lật nhào	(verb) to overturn, to overthrow
lật nhào	(verb) to overturn, to overthrow
nghi truong	như nghị viện
nghi truong	như nghị viện
nghi truong	(từ cũ) Speaker (of a colonialist House of deputies)
ngậm vành	Kết cỏ ngậm vành, xem kết
ngậm vành	Kết cỏ ngậm vành, xem kết
